tof(microsec),V,E
5,1.82749,1.80649
15,0.49935,0.50753
25,0.16893,0.17461
35,0.08538,0.0866
45,0.05123,0.04899
55,0.03379,0.03487
65,0.02793,0.02341
75,0.01939,0.01632
85,0.01586,0.01463
95,0.01598,0.01192
105,0.01232,0.0098
115,0.01183,0.0086
125,0.00988,0.00832
135,0.01025,0.00612
145,0.00866,0.00503
155,0.00817,0.00463
165,0.00683,0.00466
175,0.00805,0.00363
185,0.00524,0.00312
195,0.00561,0.0032
205,0.00537,0.0022
215,0.00415,0.00197
225,0.00561,0.00243
235,0.00403,0.00214
245,0.00451,0.00194
255,0.00293,0.00169
265,0.00451,0.00157
275,0.00366,0.00194
285,0.00439,0.00137
295,0.00354,0.00149
305,0.00329,0.00134
315,0.00439,9.15E-04
325,0.005,0.00189
335,0.0039,0.00194
345,0.00305,0.00129
355,0.00342,0.00166
365,0.0039,0.00126
375,0.00342,0.00111
385,0.00293,0.00131
395,0.00281,0.00157
405,0.00305,0.00166
415,0.00342,0.00149
425,0.00415,0.00151
435,0.00329,0.00123
445,0.00268,0.00146
455,0.00354,0.0012
465,0.0039,0.00143
475,0.00366,0.00137
485,0.00305,0.00146
495,0.00427,0.00146
505,0.00268,0.00129
515,0.00232,0.00169
525,0.00378,0.00109
535,0.00378,0.00146
545,0.00293,0.0016
555,0.0039,0.00234
565,0.00329,0.00254
575,0.00781,0.00389
585,0.00768,0.00543
595,0.01037,0.00703
605,0.0111,0.00849
615,0.01756,0.01026
625,0.01817,0.013
635,0.01805,0.01343
645,0.02183,0.01452
655,0.02476,0.01572
665,0.02964,0.01981
675,0.03354,0.02469
685,0.03866,0.02973
695,0.05196,0.03538
705,0.05562,0.0401
715,0.06196,0.0459
725,0.06977,0.05288
735,0.07233,0.05999
745,0.08818,0.06488
755,0.09989,0.07091
765,0.10465,0.07806
775,0.11624,0.08426
785,0.11587,0.08875
795,0.1188,0.08915
805,0.11868,0.09381
815,0.11978,0.09346
825,0.12039,0.09052
835,0.12307,0.09346
845,0.12221,0.08635
855,0.11148,0.08157
865,0.11075,0.07526
875,0.09453,0.06991
885,0.09453,0.06391
895,0.08038,0.06088
905,0.0766,0.05665
915,0.07952,0.05528
925,0.07806,0.05491
935,0.08123,0.05528
945,0.08953,0.05685
955,0.08757,0.06271
965,0.09489,0.06365
975,0.10892,0.06811
985,0.10368,0.07151
995,0.10843,0.07543
1005,0.11904,0.08223
1015,0.12917,0.08626
1025,0.13344,0.09478
1035,0.14112,0.09781
1045,0.15722,0.10275
1055,0.16564,0.10775
1065,0.17234,0.11433
1075,0.17295,0.11681
1085,0.17052,0.11921
1095,0.17954,0.12959
1105,0.18918,0.12853
1115,0.20125,0.13453
1125,0.19832,0.13722
1135,0.20198,0.14065
1145,0.21516,0.14645
1155,0.22711,0.15314
1165,0.23443,0.16529
1175,0.23906,0.17106
1185,0.24065,0.17455
1195,0.25004,0.18107
1205,0.25663,0.18667
1215,0.27504,0.1943
1225,0.2798,0.20342
1235,0.29053,0.20419
1245,0.29212,0.21765
1255,0.31383,0.22634
1265,0.31712,0.23371
1275,0.33469,0.24472
1285,0.34457,0.24749
1295,0.35347,0.2603
1305,0.36055,0.27156
1315,0.38055,0.27962
1325,0.40202,0.29185
1335,0.41665,0.30134
1345,0.42348,0.30777
1355,0.43019,0.3206
1365,0.44336,0.32358
1375,0.45702,0.33286
1385,0.47788,0.33675
1395,0.46788,0.34095
1405,0.48166,0.35216
1415,0.48825,0.3639
1425,0.4974,0.36362
1435,0.51264,0.37319
1445,0.5274,0.37951
1455,0.52179,0.3848
1465,0.54314,0.39146
1475,0.53801,0.39777
1485,0.55789,0.40715
1495,0.57521,0.40498
1505,0.5668,0.41655
1515,0.57717,0.4225
1525,0.59144,0.41855
1535,0.58448,0.43622
1545,0.60351,0.43221
1555,0.60436,0.44122
1565,0.61485,0.44199
1575,0.61827,0.44848
1585,0.63254,0.45116
1595,0.63108,0.45182
1605,0.63535,0.45388
1615,0.63242,0.46443
1625,0.63852,0.45534
1635,0.66767,0.47146
1645,0.65889,0.47437
1655,0.66889,0.47966
1665,0.69548,0.47777
1675,0.67352,0.48884
1685,0.69377,0.49269
1695,0.70048,0.49767
1705,0.70767,0.5009
1715,0.71377,0.49973
1725,0.71365,0.50227
1735,0.71011,0.50361
1745,0.7228,0.51041
1755,0.74,0.52268
1765,0.7528,0.5207
1775,0.74939,0.52253
1785,0.74963,0.52865
1795,0.76427,0.54594
1805,0.79171,0.542
1815,0.79013,0.54649
1825,0.82184,0.55552
1835,0.80403,0.55669
1845,0.81903,0.55535
1855,0.82452,0.56381
1865,0.82843,0.57944
1875,0.85892,0.58207
1885,0.85538,0.5955
1895,0.86929,0.5951
1905,0.85221,0.59305
1915,0.86319,0.59542
1925,0.89087,0.60056
1935,0.90149,0.60665
1945,0.89283,0.60273
1955,0.89514,0.60722
1965,0.92637,0.61148
1975,0.91698,0.62614
1985,0.94479,0.618
1995,0.92332,0.62197
2005,0.94247,0.6312
2015,0.95149,0.64475
2025,0.92832,0.63658
2035,0.95174,0.62583
2045,0.95613,0.62883
2055,0.97284,0.64306
2065,0.97516,0.63
2075,0.96235,0.64681
2085,0.97662,0.64941
2095,0.9582,0.64938
2105,0.9926,0.64038
2115,0.96491,0.63049
2125,0.97235,0.63429
2135,0.98772,0.64018
2145,0.98516,0.63086
2155,0.97833,0.62471
2165,0.97491,0.62594
2175,0.98443,0.62731
2185,0.97223,0.61562
2195,0.98382,0.62757
2205,0.97247,0.62909
2215,0.97028,0.61954
2225,0.97845,0.62646
2235,0.98369,0.62869
2245,0.9904,0.63043
2255,0.98272,0.6264
2265,0.98967,0.61883
2275,0.97625,0.60399
2285,0.96101,0.5843
2295,0.96662,0.58176
2305,0.96467,0.59439
2315,0.95893,0.5865
2325,0.94076,0.57041
2335,0.93332,0.57361
2345,0.95259,0.56232
2355,0.92539,0.5512
2365,0.96003,0.55283
2375,0.93112,0.55617
2385,0.94296,0.56532
2395,0.93064,0.56003
2405,0.93356,0.56192
2415,0.9249,0.53628
2425,0.91771,0.54257
2435,0.916,0.53342
2445,0.90941,0.51636
